NIL,IdNIL,JJI,Media01,IMG,AMPI,Nil,Residenti,N_fermate_metro,Corse_metro_settimana,N_fermate_tram,Corse_tram_settimana,N_fermate_bus,Corse_bus_settimana,N_fermate_filobus,Corse_filobus_settimana,Posti_auto_GuidaMi,Stalli_BikeMi,N_colonnine_elettriche,Numero_stalli_bike
Muggiano,54,1.346,0,97.858,97.753778344386,Muggiano,3121,0,0,0,0,0,0,0,0,0,0,0,15
Baggio,55,4.127,0,97.864,97.7574790303809,Baggio,30017,0,0,0,0,15,804.266666666667,0,0,0,0,0,285
Forze Armate,56,24.621,0.01,98.904,98.33246799785,Forze Armate,24520,1,2124,0,0,29,908.172413793103,0,0,2,0,1,230
Selinunte,57,12.778,0.017,99.535,98.786987988417,Selinunte,26917,0,0,0,0,15,875.6,5,1263,0,0,0,187
De Angeli - Monte Rosa,58,161.426,0.061,104.132,101.433645656763,De Angeli - Monte Rosa,21400,3,2668,0,0,19,507.263157894737,7,1429.14285714286,13,216,1,164
Tre Torri,59,309.586,0.149,109.579,110.319651937278,Tre Torri,2187,2,2951,1,740,1,437,0,0,0,36,2,298
S. Siro,60,24.179,0.039,101.718,100.227341652258,S. Siro,12783,3,3800,0,0,23,1011.13043478261,0,0,2,0,0,75
Quarto Cagnino,61,7.054,0.01,99.006,98.3675487055512,Quarto Cagnino,9958,0,0,0,0,22,709,0,0,4,0,0,40
Quinto Romano,62,5.222,0,97.883,97.7697222826444,Quinto Romano,4771,0,0,0,0,13,596.769230769231,0,0,0,0,0,30
Figino,63,3.963,0,97.88,97.7676297596737,Figino,2312,0,0,0,0,5,613,0,0,0,0,0,0
Trenno,64,3.218,0,97.863,97.7567796807071,Trenno,4099,0,0,0,0,2,394,0,0,0,0,0,0
Gallaratese,65,17.165,0.017,99.578,98.801155523904,Gallaratese,32669,5,2093,0,0,68,557.941176470588,0,0,0,30,0,284
